term,language,definition,categories,target
कटवा,Hindi,The word katwa refers to the fact that the foreskin of muslims is circumcised or cut off. Therefore katwa is a highly racially derogatory word.,Religion,Islam
क़ादियानी,Hindi,An Ahmadi Muslim,Religion,Islam
कुलटा,Hindi,Slut,Gender,Female
कून,Hindi,A person of African descent,Ethnicity,African
खतना,Hindi,The word katwa refers to the fact that the foreskin of muslims is circumcised or cut off. Therefore katwa is a highly racially derogatory word.,Religion,
गणिका,Hindi,Prostitute,Gender,Female
गंदी,Hindi,Slut,Gender,Female
चैनल,Hindi,A whore,Gender,Female
छब्बीस,Hindi,A young promiscuous girl Twenty-six,Gender,Female
छिनाल,Hindi,Adultress,Gender,Female
टपोरी,Hindi,In India a vagabond lower class and/or boisterous person,Class,
डगर,Hindi,A prostitute A common surname,Gender,Female
ढीला,Hindi,Promiscuous Untidy,Gender,Female
पतुरिया,Hindi,Slut,Gender,Female
परगामिनी,Hindi,Slut,Gender,Female
फ़रीदेवी,Hindi,A promiscuous woman,Gender,Female
फूहड़,Hindi,Hussy,Gender,Female
फूहड़ औरत,Hindi,Slattern,Gender,Female
फूहड़ स्त्री,Hindi,Slut,Gender,Female
फूहड़ स्री,Hindi,Prostitute,Gender,Female
बदचलन औरत,Hindi,Slut,Gender,Female
बदतमीज़ औरत,Hindi,Slut,Gender,Female
मुल्ला,Hindi,Calling all Muslims Mulla and giving bad words. Usually used in a derogatory sense. Muslim Cleric,Religion,Islam
युवती जिसे रईस आदमी तोहफे आदि देकर खुश रखे,Hindi,An unintelligent woman,Gender,Female
रंडी,Hindi,Whore Come in,Gender,Female
वेश्या,Hindi,Prostitute,Gender,Female
वेश्याएँ,Hindi,,Gender,Female
वेश्याओं,Hindi,,Gender,Female
व्यभिचारिणी,Hindi,Adulteress,Gender,Female
सोले,Hindi,Slut,Gender,Female
स्त्री को अश्लीलता से संबोधित करना,Hindi,Slut,Gender,Female
हबशी,Hindi,Person of African descent,Ethnicity,African
हब्शी,Hindi,A person of African descent,Ethnicity,African
हरामी,Hindi,Disabled or mentally deficient,Disability,
ूरु बगलू,Hindi,Slut City gate,Gender,Female
அயிட்டம்,Tamil,A sexually promiscuous woman,Gender,Female
அல்லேலூயா குரூப்,Tamil,Muslim,Religion,Islam
அல்லேலூயா குறூப்,Tamil,Muslim,Religion,Islam
ஆட்டக்காரி,Tamil,A sexually promiscuous woman,Gender,Female
ஊர் மேய்றது,Tamil,A promiscuous woman,Gender,Female
ஐட்டம்,Tamil,A sexually promiscuous woman,Gender,Female
கூதி,Tamil,Whore,Gender,Female
க்ரோஸ்ஸி,Tamil,Cross-dresser,Gender,Transgender
சாமான்,Tamil,A sexually promiscuous woman,Gender,Female
சோனி,Tamil,Muslim,Religion,Islam
சோனிகள்,Tamil,Muslim,Religion,Islam
தேவடியா,Tamil,A sex worker,Gender,Female
தேவிடியா புண்ட,Tamil,Whore,Gender,Female
தொப்பி பிரட்டி,Tamil,Muslim,Religion,Islam
தொப்பி பிரட்டிகள்,Tamil,Muslim,Religion,Islam
பஜாரி,Tamil,A loud or uncouth woman,Gender,Female
பொட்டை நாய்,Tamil,Bitch,Gender,Female
பொதுச் சொத்து,Tamil,A promiscuous woman,Gender,Female
முஸ்லிம் காக்கா,Tamil,Muslim,Religion,Islam
முஸ்லிம் காக்காக்கள்,Tamil,Muslim,Religion,Islam
வேச,Tamil,Prostitute,Gender,Female
வேசை,Tamil,Prostitute,Gender,Female
අම්මන්ඩි,Sinhala,Woman Skirt,Gender,Female
අම්මන්ඩියො,Sinhala,Woman Skirt,Gender,Female
අම්මන්ඩියෝ,Sinhala,Woman Skirt,Gender,
අම්මන්ඩිලා,Sinhala,Woman Skirt,Gender,Female
කිම්බ,Sinhala,Expletive for vagina,Gender,Female
කිම්බේ,Sinhala,Expletive for vagina,Gender,Female
කුරුසකාරයා,Sinhala,Cross bearer or crusader a slur on Christian,Religion,Christianity
කුරුසකාරයෝ,Sinhala,Cross bearer or crusader a slur on Christian,Religion,Christianity
ගණයා,Sinhala,A Buddhist monk,Religion,Buddhism
ගණිකාව,Sinhala,Prostitute,Gender,Female
ගණිකාවන්,Sinhala,Prostitute,Gender,Female
ගණිකාවෝ,Sinhala,Whore,Gender,Female
ගනිකාව,Sinhala,Prostitute,Gender,Female
ගෙර,Sinhala,Muslim Bull; beef,Religion,Islam
තම්බ,Sinhala,The cheap race a slur on Muslims Younger brother,Religion,Islam
තම්බියා,Sinhala,The cheap race a slur on Muslims Younger brother,Religion,Islam
තම්බියෝ,Sinhala,The cheap race a slur on Muslims Younger brother,Religion,Islam
නානලා,Sinhala,A Muslim man,Religion,Islam
නානා,Sinhala,A Muslim man,Religion,Islam
පට්ට වේසි,Sinhala,Whore,Gender,Female
පට්ට වේසී,Sinhala,Whore,Gender,Female
පර දෙමල,Sinhala,Implies that a Tamil is foreign-born or does not belong,Ethnicity,Tamil
පර දෙමලා,Sinhala,Implies that a Tamil is foreign-born or does not belong,Ethnicity,Tamil
පර දෙමල්ල,Sinhala,Implies that a Tamil is foreign-born or does not belong,Ethnicity,Tamil
පර දෙමළ,Sinhala,Implies that a Tamil is foreign-born or does not belong,Ethnicity,Tamil
පර දෙමළා,Sinhala,Implies that a Tamil is foreign-born or does not belong,Ethnicity,Tamil
පර බැල්ල,Sinhala,Bitch,Gender,Female
පර බැල්ලී,Sinhala,Bitch,Gender,Female
පොන්නයා,Sinhala,Identifies submissive transgender people Eunuch or submissive male homosexual in a hateful manner.,Gender,Male
බඩු,Sinhala,An attractive and/or sexually promiscuous woman,Gender,Female
බඩුව,Sinhala,An attractive and/or sexually promiscuous woman,Gender,Female
බඩුවක්,Sinhala,An attractive and/or sexually promiscuous woman,Gender,Female
බැල්ල,Sinhala,Bitch Female dog,Gender,Female
බැල්ලියක්,Sinhala,Bitch Female dog,Gender,Female
බැල්ලියන්,Sinhala,Bitch Female dog,Gender,Female
බැල්ලියො,Sinhala,Bitch Female dog,Gender,Female
බැල්ලියෝ,Sinhala,Bitch Female dog,Gender,Female
බැල්ලී,Sinhala,Bitch Female dog,Gender,Female
මරක්කල,Sinhala,A muslim A South Asian Muslim community in Sri Lanka,Religion,Islam
මරක්කලයා,Sinhala,Muslim,Religion,Islam
මරක්කලයෝ,Sinhala,A muslim A South Asian Muslim community in Sri Lanka,Religion,Islam
වල් ගෑණි,Sinhala,A sexually promiscuous woman or prostitute,Gender,Female
වේස,Sinhala,Whore,Gender,Female
වේස,Sinhala,Whore,Gender,Female
වේස ගෑණි,Sinhala,Whore,Gender,Female
වේස ගෑණු,Sinhala,Whore,Gender,Female
වේසා,Sinhala,Whore,Gender,Female
වේසියක්,Sinhala,Whore,Gender,Female
වේසී,Sinhala,Whore,Gender,Female
හමිබයා,Sinhala,Muslim,Religion,Islam
හම්බ,Sinhala,A Muslim,Religion,Islam
හම්බයන්ගේ,Sinhala,Muslim,Religion,Islam
හම්බයා,Sinhala,derogatory term against Muslims,Religion,Islam
හම්බයාගේ,Sinhala,Muslim,Religion,Islam
හම්බයෝ,Sinhala,Muslim,Religion,Islam
හැතිරි,Sinhala,Enemy woman; traitor.,Gender,Female
හැතිරියක්,Sinhala,Enemy woman; traitor.,Gender,Female
හැතිරියන්,Sinhala,Enemy woman; traitor.,Gender,Female
හැතිරී,Sinhala,Enemy woman; traitor.,Gender,Female
හුත්ත,Sinhala,Whore Cunt Vagina,Gender,Female
හුත්ති,Sinhala,Whore Cunt Vagina,Gender,Female
හුත්තිගේ,Sinhala,Whore Cunt Vagina,Gender,Female
හුත්තියේ,Sinhala,Whore Cunt Vagina,Gender,Female
හුත්තියො,Sinhala,Whore Cunt Vagina,Gender,Female
හුත්තී,Sinhala,Whore Cunt Vagina,Gender,Female
กะเทย,Thai,Male to female transgender,Gender,Transgender
กะหรี่,Thai,A prostitute,Gender,Female
เกา,Thai,Ethnic slur for Koreans To scratch,Nationality,Korea (Republic Of)
แขก,Thai,A person from the Middle East,Ethnicity,Malay
แขกขาว,Thai,A person from the Middle East,Ethnicity,Arabs
แขกดำ,Thai,A half-asian half-African person,Ethnicity,African
คนต่างด้าว,Thai,A foreigner An alien in legal terminology,Ethnicity,
คลั่ง,Thai,Crazy or insane,Disability,
เจ๊ก,Thai,Equivalent to chink,Nationality,China
เดียรฉาน,Thai,Sub-human inhuman or vile,Class,
ตุ๊ด,Thai,An effeminate man or crossdresser,Gender,Homosexual
ทอม,Thai,Implying lesbian nature A tomboy,Gender,Butch
ปัญญาอ่อน,Thai,Intellectually disabled,Disability,
ผีไม่มีศาล,Thai,A homeless person Ghost without a shrine,Class,
ฝรั่ง,Thai,A foreigner,Ethnicity,
แพศยา,Thai,A prostitute or promiscuous woman,Gender,Female
มิจฉาทิฐิ,Thai,Heretic or unbeliever; non-Buddhist,Religion,Atheism
ยุ่น,Thai,Equivalent to jap,Nationality,Japan
อั้งม้อ,Thai,A western foreigner Red hair,Ethnicity,European
อีดอก,Thai,Equivalent of bitch,Gender,Female
เอ๋อ,Thai,Intellectually disabled,Disability,
ฮ่อ,Thai,A Chinese person; a barbarian,Nationality,China
ကျပား,Burmese,Equivalent of anglo,Ethnicity,European
ကျပားမ်ား,Burmese,,Ethnicity,European
ကျပားေတြ,Burmese,,Ethnicity,European
ကာ ေဖရ္,Burmese,A Buddhist,Religion,Buddhism
ကာufeffေဖရ္ufeffမ်ာ,Burmese,,Religion,Buddhism
